date,bps
202411022130,24957603042.2
202411022200,24143829489.23333
202411022230,20257776653.6
202411022300,15554275880.233334
202411022330,12942392002.2
202411030000,11410685017.133335
202411030030,10604217453.266666
202411030100,8289400576.566667
202411030130,7698011663.633333
202411030200,6038055091.066667
202411030230,5742178005.3
202411030300,5066817884.4
202411030330,5151302260.633333
202411030400,5246585941.6
202411030430,4644747602.133333
202411030500,4955728136.1
202411030530,5338994700.833333
202411030600,7022758894.6
202411030630,7416062902.9
202411030700,9831003294.033333
202411030730,11889572457.900002
202411030800,13287886412.733334
202411030830,14355495003.5
202411030900,15068488061.233334
202411030930,16963178369.366669
202411031000,16675067299
202411031030,15721513474.466667
202411031100,16344929422.333332
202411031130,16300324398.766666
202411031200,17039474988.833332
202411031230,16836672840.366667
202411031300,17934554603.366665
202411031330,18075307997.9
202411031400,18161035228.533333
202411031430,20045229877.86667
202411031500,20818610613.166664
202411031530,21550757707.533333
202411031600,20935612080.033333
202411031630,21067515177.266666
202411031700,21528219208.733334
202411031730,22921877857.133335
202411031800,23616302920.13333
202411031830,25712090031.466667
202411031900,27358641462.333336
202411031930,27738892543.13333
202411032000,28513741504.633335
202411032030,27463163869.7
202411032100,26198905902.899998
202411032130,24385774081.033333
202411032200,18990674534.9
202411032230,14925814539.300001
202411032300,11505454920.166666
202411032330,9535570274.1
202411040000,7476287542.833333
202411040030,7991352512.199999
202411040100,5476300851.8
202411040130,5265138871.933332
202411040200,4569781063.466667
202411040230,4023561510.6666665
202411040300,3833918917.9666667
202411040330,3733767779.633333
202411040400,3733767779.633333
202411040430,4267653132.366667
202411040500,5516981879.333334
202411040530,7605526661.133333
202411040600,9291095775.366667
202411040630,9591135315.033333
202411040700,10658243750.233334
202411040730,12228027449.633333
202411040800,12795861920.8
202411040830,13017293071.499998
202411040900,11819593659.133335
202411040930,11435412921.866667
202411041000,11631524223.433332
202411041030,11755908092
202411041100,11251506804.166666
202411041130,11351636282.933334
202411041200,12632559357.133333
202411041230,13156342198.466665
202411041300,13216898364.366669
202411041330,13775520210.833334
202411041400,13536929159
202411041430,14204311655.366667
202411041500,15240679673.266665
202411041530,15678989138.4
202411041600,16172237259.933332
202411041630,18694680428.1
202411041700,20855210513.466667
202411041730,22025792402.533333
202411041800,23037787261
202411041830,25580791215.733334
202411041900,25231875417.93333
202411041930,25601765807.7
202411042000,27119556583.9
202411042030,26836524987.36667
202411042100,23942933405.233334
202411042130,22106644224.066666
202411042200,18353088395.966667
202411042230,14504315321.433334
202411042300,12047034201.966665
202411042330,10212025560.933332
202411050000,7680490985.7
202411050030,7839570018.066666
202411050100,5712011268.266666
202411050130,4908546148
202411050200,4231765110.9333334
202411050230,3917492167.133333
202411050300,3707210801.1
202411050330,3871955207.1000004
202411050400,4411155225.233334
202411050430,4961163698.733334
202411050500,6560515287.866667
202411050530,7361238163.866667
202411050600,9450286348.866667
202411050630,10547700882.1
202411050700,10547700882.1
202411050730,11599508522.6
202411050800,12046303520.766666
202411050830,12741607203.766666
202411050900,11704539108.166668
202411050930,11961482542.666666
202411051000,11961482542.666666
202411051030,11055074344.4
202411051100,11163761026
202411051130,11902000253.533333
202411051200,11473631647.166666
202411051230,12090463480.466667
202411051300,13351918424.733334
202411051330,13474326155.966667
202411051400,12739516292.933334
202411051430,13921404600.8
202411051500,14732762953.466667
202411051530,15041773211.8
202411051600,15495994669.766666
202411051630,17355472836.43333
202411051700,18887904545.166664
202411051730,20616712797
202411051800,22221147699.333332
202411051830,23194918372.966667
202411051900,25121922431.766663
202411051930,25856664546.6
202411052000,27071867721.566666
202411052030,27232832350.033333
202411052100,26060099143.7
202411052130,22880164969.766666
202411052200,20170351153.666668
202411052230,18840878189.63333
202411052300,12492269833.099998
202411052330,11178374811.266666
202411060000,8874505534.9
202411060030,8403763635.733333
202411060100,6179135584.266667
202411060130,6179135584.266667
202411060200,5287511495.233334
202411060230,4770177196.4
202411060300,4162151531
202411060330,4304783005.366667
202411060400,4493619699.433333
202411060430,4826217040.9
202411060500,6043100018.466667
202411060530,8579807679.966667
202411060600,9446804919.566668
202411060630,11012152843.433334
202411060700,11183862054.8
202411060730,12534344211.899998
202411060800,13202349471.933332
202411060830,13068156331.466665
202411060900,12878866860.433332
202411060930,12705428684.5
202411061000,12705428684.5
202411061030,12000762918.566668
202411061100,12000762918.566668
202411061130,11396663866.600002
202411061200,11396663866.600002
202411061230,12074321670.366665
202411061300,11992234939.599998
202411061330,13665109687.2
202411061400,13488493810.466667
202411061430,14671201645.133335
202411061500,15987859337.833332
202411061530,16540663071.9
202411061600,17850639273.1
202411061630,16937537901.866667
202411061700,18704331526.733334
202411061730,21169714067.933334
202411061800,21363703912.133335
202411061830,22572291325.63333
202411061900,24456009173.6
202411061930,25868916417.9
202411062000,26105958697.5
202411062030,26129450813.2
202411062100,24709521379.43333
202411062130,21789654265.5
202411062200,19167744228.9
202411062230,15731845337.7
202411062300,11623154683.599998
202411062330,8771876758.5
202411070000,7316798505.933333
202411070030,7447426176.033334
202411070100,5474127189.700001
202411070130,4937814662.5
202411070200,4434376150.9
202411070230,3849000319.5666666
202411070300,3162504832.333333
202411070330,3568708685.9333334
202411070400,3552532839.366667
202411070430,4760884678.166667
202411070500,6600200154.033333
202411070530,7977857462.1
202411070600,8444790394.666666
202411070630,10476170688.633333
202411070700,10126574057.033333
202411070730,11539634247.100002
202411070800,11658126421.666668
202411070830,11884629433.466667
202411070900,12402178396.966667
202411070930,12522681710.733334
202411071000,12017331431.4
202411071030,12507485999.833334
202411071100,12290796394.633335
202411071130,12862885261.2
202411071200,12768860759.033335
202411071230,12496220751.466667
202411071300,12450064260.466665
202411071330,12622870380.733334
202411071400,13584343688.7
202411071430,13958118648.566666
202411071500,16048280741.1
202411071530,15423408947.833332
202411071600,17443985916.366665
202411071630,18147422584.366665
202411071700,19677942124.333332
202411071730,20209812821.966667
202411071800,21710158158.63333
202411071830,22998361451
202411071900,23439580095.833332
202411071930,24767717929.699997
202411072000,25480526948.16667
202411072030,25208822382.466667
202411072100,24214327878.13333
202411072130,21595681745.533333
202411072200,18865335838.433334
202411072230,15228951893.033333
202411072300,11965024200.400002
202411072330,9655929654.533333
202411080000,7892736496.533334
202411080030,7788294315.866666
202411080100,5547325890.733334
202411080130,5385200029.833333
202411080200,4443540194.933334
202411080230,4089653283.866667
202411080300,3524624606.9666667
202411080330,3156950585.2
202411080400,3400037204.4666667
202411080430,4086494278.633333
202411080500,6197030668.333333
202411080530,7120678905.566667
202411080600,8929691753.066668
202411080630,10214468360.133333
202411080700,10594356582.6
202411080730,11456903363.4
202411080800,12845351763.7
202411080830,13425985237.433334
202411080900,13248332389.833334
202411080930,12296496507.566666
202411081000,12662697721.466665
202411081030,12150580041.6
202411081100,11180919638.1
202411081130,11351933428.366667
202411081200,11551645229.566668
