date,bps
202410200000,467162629
202410200005,447105354
202410200010,430439685
202410200015,409839616
202410200020,413984800
202410200025,426703317
202410200030,407856853
202410200035,378376906
202410200040,351545120
202410200045,347388330
202410200050,337117744
202410200055,325110037
202410200100,339822080
202410200105,323284730
202410200110,305636890
202410200115,308007125
202410200120,295826490
202410200125,292490336
202410200130,287558922
202410200135,273946720
202410200140,269073018
202410200145,264790192
202410200150,258252010
202410200155,243950080
202410200200,252577002
202410200205,238635573
202410200210,234550581
202410200215,224281978
202410200220,217544901
202410200225,220980864
202410200230,220523456
202410200235,221079296
202410200240,210782416
202410200245,202932826
202410200250,204514789
202410200255,193840874
202410200300,197584864
202410200305,190956698
202410200310,195603824
202410200315,185651216
202410200320,178597952
202410200325,183119856
202410200330,173745674
202410200335,174828325
202410200340,174608693
202410200345,166619424
202410200350,170018618
202410200355,166645472
202410200400,165675194
202410200405,159797237
202410200410,164957429
202410200415,152793754
202410200420,159630725
202410200425,152686064
202410200430,150333397
202410200435,145108480
202410200440,153475066
202410200445,144607072
202410200450,148541728
202410200455,150923045
202410200500,153503290
202410200505,147910672
202410200510,156748480
202410200515,153875178
202410200520,160224048
202410200525,157399664
202410200530,165970544
202410200535,168676320
202410200540,165686853
202410200545,161387290
202410200550,168374181
202410200555,171341189
202410200600,179964000
202410200605,190730341
202410200610,197071312
202410200615,195485344
202410200620,209993040
202410200625,216666138
202410200630,221580266
202410200635,223283546
202410200640,229843338
202410200645,231454032
202410200650,241799530
202410200655,251917056
202410200700,271510624
202410200705,270939653
202410200710,280825392
202410200715,282622736
202410200720,291496160
202410200725,303548528
202410200730,323323152
202410200735,329609605
202410200740,332536378
202410200745,343472298
202410200750,341608032
202410200755,349822128
202410200800,383576128
202410200805,387883258
202410200810,400839290
202410200815,398403584
202410200820,406309040
202410200825,413859925
202410200830,420017802
202410200835,421346026
202410200840,444894330
202410200845,453340368
202410200850,453088378
202410200855,453230928
202410200900,459122037
202410200905,476668202
202410200910,470727973
202410200915,498848522
202410200920,502488453
202410200925,498293509
202410200930,494333701
202410200935,513305141
202410200940,511317893
202410200945,517914986
202410200950,511671792
202410200955,531624837
202410201000,521382016
202410201005,534320800
202410201010,527201696
202410201015,519385157
202410201020,523733440
202410201025,534649376
202410201030,539673573
202410201035,549203290
202410201040,539999178
202410201045,540138421
202410201050,555002565
202410201055,558055984
202410201100,553747322
202410201105,556260768
202410201110,565509274
202410201115,560728618
202410201120,569735690
202410201125,564004448
202410201130,565899466
202410201135,565556832
202410201140,568860618
202410201145,574568645
202410201150,568845402
202410201155,562969114
202410201200,577424592
202410201205,574899226
202410201210,553428901
202410201215,559625898
202410201220,586900522
202410201225,569728885
202410201230,579015989
202410201235,574260682
202410201240,573745056
202410201245,584047424
202410201250,587299621
202410201255,582594778
202410201300,579873765
202410201305,582647152
202410201310,583902453
202410201315,574388554
202410201320,585248069
202410201325,597703024
202410201330,598066533
202410201335,590323125
202410201340,593657173
202410201345,596988042
202410201350,604838912
202410201355,597355973
202410201400,598306938
202410201405,603328053
202410201410,600167301
202410201415,603993845
202410201420,615257386
202410201425,603835610
202410201430,609697781
202410201435,602906912
202410201440,609746858
202410201445,596041866
202410201450,594319861
202410201455,605770016
202410201500,617160906
202410201505,606500021
202410201510,593472965
202410201515,595591018
202410201520,599967200
202410201525,597816202
202410201530,609702304
202410201535,616500208
202410201540,624775701
202410201545,622425520
202410201550,633630698
202410201555,643370720
202410201600,637300032
202410201605,640063338
202410201610,645635205
202410201615,648054384
202410201620,656199194
202410201625,644766570
202410201630,662826832
202410201635,664024554
202410201640,668786784
202410201645,662105882
202410201650,669703013
202410201655,678674250
202410201700,693127440
202410201705,693365589
202410201710,669001493
202410201715,677286970
202410201720,682833397
202410201725,690427093
202410201730,690636976
202410201735,679000970
202410201740,668127424
202410201745,671553189
202410201750,664225850
202410201755,668979120
202410201800,680364480
202410201805,689199221
202410201810,661613840
202410201815,652892112
202410201820,650714346
202410201825,664186554
202410201830,675954474
202410201835,667231386
202410201840,682068906
202410201845,693947866
202410201850,678787520
202410201855,665282160
202410201900,674129754
202410201905,665112576
202410201910,682914224
202410201915,688559909
202410201920,701954506
202410201925,722781408
202410201930,730119280
202410201935,741943680
202410201940,722835445
202410201945,712556629
202410201950,744802746
202410201955,743830026
202410202000,758780288
202410202005,774463770
202410202010,771597242
202410202015,784115141
202410202020,798370192
202410202025,793317584
202410202030,782642762
202410202035,778586506
202410202040,789191904
202410202045,810260938
202410202050,822749322
202410202055,808350938
202410202100,810713936
202410202105,794984096
202410202110,806376650
202410202115,813018677
202410202120,815357509
202410202125,827241226
202410202130,835980122
202410202135,819866544
202410202140,801180149
202410202145,803747194
202410202150,813518352
202410202155,813800976
202410202200,801755216
202410202205,773706357
202410202210,744678944
202410202215,751504960
202410202220,723036869
202410202225,724555077
202410202230,714554016
202410202235,688638288
202410202240,681244682
202410202245,658419744
202410202250,630442832
202410202255,610433424
202410202300,591777434
202410202305,570141957
202410202310,556277274
202410202315,539773402
202410202320,546848192
202410202325,526659882
202410202330,502856954
202410202335,489345029
202410202340,471242106
202410202345,456070517
202410202350,436573269
202410202355,416180741
202410210000,411659898
202410210005,396049216
202410210010,379658320
202410210015,367714400
202410210020,357493226
202410210025,345946832
202410210030,329431269
202410210035,320240293
202410210040,306250640
202410210045,299061248
202410210050,291555808
202410210055,280185824
202410210100,275709690
202410210105,269531946
202410210110,259837306
202410210115,251600298
202410210120,246990149
202410210125,242459685
202410210130,231214181
202410210135,225066096
202410210140,219049786
202410210145,207340320
202410210150,204581040
202410210155,210185797
202410210200,205998608
202410210205,190739600
202410210210,183876240
202410210215,187763466
202410210220,178384645
202410210225,175045749
202410210230,173791344
202410210235,169613285
202410210240,168816730
202410210245,165679850
202410210250,162074277
202410210255,155511722
202410210300,157059477
202410210305,150289962
202410210310,148476762
202410210315,155759648
202410210320,150254714
202410210325,148702090
202410210330,144577866
202410210335,146460298
202410210340,151852314
202410210345,152707477
202410210350,150222885
202410210355,148474752
202410210400,147438666
202410210405,153395226
202410210410,147309477
202410210415,156350880
202410210420,146038330
202410210425,147923008
202410210430,148523386
202410210435,147299045
202410210440,148368085
202410210445,156972218
202410210450,155217722
202410210455,165597701
202410210500,165424629
202410210505,159155781
202410210510,168440309
202410210515,168215344
202410210520,179052346
202410210525,181013205
202410210530,188318938
202410210535,195518640
202410210540,208830288
202410210545,215568757
202410210550,224578992
202410210555,234832944
202410210600,245700000
202410210605,246891040
202410210610,264022634
202410210615,271247568
202410210620,275174096
202410210625,281920277
202410210630,293249269
202410210635,290596901
202410210640,291739877
202410210645,293460048
202410210650,316118666
202410210655,308687600
202410210700,316530288
202410210705,312183589
202410210710,319663370
202410210715,329978192
202410210720,314202650
202410210725,311692277
202410210730,324428293
202410210735,330424858
202410210740,322641413
202410210745,327328410
202410210750,326189770
202410210755,340604517
202410210800,347096037
202410210805,334642106
202410210810,345520234
202410210815,342398352
202410210820,344971509
202410210825,342383802
202410210830,350977472
202410210835,351659434
202410210840,368323962
202410210845,353195642
202410210850,365759882
202410210855,360732218
202410210900,378959162
202410210905,372102794
202410210910,372584645
202410210915,375291632
202410210920,378390213
202410210925,399920762
202410210930,390572250
202410210935,377974709
202410210940,383800762
202410210945,386364320
202410210950,380192458
202410210955,392094965
202410211000,393939456
202410211005,389433498
202410211010,403047530
202410211015,405149936
202410211020,416372325
202410211025,403593888
202410211030,415671722
202410211035,427524016
202410211040,434184122
202410211045,422255872
202410211050,436914032
202410211055,442070160
202410211100,428899904
202410211105,423960842
202410211110,443154816
202410211115,442074922
202410211120,442174933
202410211125,447417845
202410211130,452175760
202410211135,442050149
202410211140,462702240
202410211145,473231877
202410211150,480865797
202410211155,489059082
202410211200,498066752
202410211205,518883648
202410211210,517130805
202410211215,541027712
202410211220,549381381
202410211225,550885493
202410211230,550383221
202410211235,555502138
202410211240,555229402
202410211245,537445765
202410211250,522118608
202410211255,519369093
202410211300,515413872
202410211305,538384848
202410211310,519024880
202410211315,505461941
202410211320,514866112
202410211325,508576106
202410211330,520641184
202410211335,510871386
202410211340,507805744
202410211345,506595136
202410211350,511905029
202410211355,511669237
202410211400,504111696
202410211405,510064549
202410211410,495239146
202410211415,496107648
202410211420,499522725
202410211425,492392602
202410211430,498201232
202410211435,498336965
202410211440,518447989
202410211445,539390016
202410211450,526223664
202410211455,506611258
202410211500,506954149
202410211505,514048885
202410211510,516706176
202410211515,502568901
202410211520,503517706
202410211525,506394250
202410211530,526633925
202410211535,511538778
202410211540,510092709
202410211545,509860826
202410211550,503711226
202410211555,506638160
202410211600,510009893
202410211605,516107690
202410211610,512689504
202410211615,515490197
202410211620,507163840
202410211625,503999877
202410211630,507886752
202410211635,490922890
202410211640,494625888
202410211645,518103280
202410211650,521865210
202410211655,521011552
202410211700,527835850
202410211705,507873040
202410211710,533338176
202410211715,545167376
202410211720,542431893
202410211725,542283402
202410211730,542910026
202410211735,552662725
202410211740,560291968
202410211745,565505573
202410211750,559063786
202410211755,566881818
202410211800,573411029
202410211805,566238688
202410211810,567801184
202410211815,599115936
202410211820,622819621
202410211825,616393434
202410211830,638590506
202410211835,641312592
202410211840,647686341
202410211845,669138757
202410211850,663214490
202410211855,669137872
202410211900,685829760
202410211905,679800730
202410211910,695393669
202410211915,704445253
202410211920,725187973
202410211925,729318720
202410211930,731770741
202410211935,759848026
202410211940,772260826
202410211945,779443557
202410211950,802773749
202410211955,787399354
202410212000,814792309
202410212005,814789685
202410212010,822948666
202410212015,822274405
202410212020,851296688
202410212025,842739296
202410212030,845882933
202410212035,866349221
202410212040,872924421
202410212045,888186352
202410212050,896819392
202410212055,883906848
202410212100,891901989
202410212105,871739888
202410212110,862724453
202410212115,861101360
202410212120,858733546
202410212125,841435408
202410212130,835192133
202410212135,840204154
202410212140,838076202
202410212145,810190197
202410212150,786904576
202410212155,756000288
202410212200,747268522
202410212205,742836885
202410212210,720893722
202410212215,709072506
202410212220,698506960
202410212225,703061258
202410212230,664968080
202410212235,642468058
202410212240,630484832
202410212245,634114666
202410212250,597438682
202410212255,592103045
202410212300,581061664
202410212305,553832549
202410212310,533863642
202410212315,534754944
202410212320,502879141
202410212325,494950944
202410212330,480108330
202410212335,456141557
202410212340,451648154
202410212345,443844330
202410212350,426918506
202410212355,424394101
202410220000,410798069
202410220005,389197301
202410220010,370595882
202410220015,360921792
202410220020,343641840
202410220025,341836474
202410220030,330357274
202410220035,320447701
202410220040,311407818
202410220045,303818896
202410220050,283779077
202410220055,276495152
202410220100,291112112
202410220105,289013994
202410220110,275379445
202410220115,275627290
202410220120,264033626
202410220125,249625056
202410220130,245461413
202410220135,242718448
202410220140,239169754
202410220145,233103045
202410220150,222997861
202410220155,218413029
202410220200,226106112
202410220205,214689978
202410220210,215105637
202410220215,204349317
202410220220,203531930
202410220225,203801162
202410220230,204032501
202410220235,206058986
202410220240,196175317
202410220245,192137909
202410220250,191464917
202410220255,185246277
202410220300,181605733
202410220305,178700453
202410220310,174291381
202410220315,165678026
202410220320,171175445
202410220325,174228133
202410220330,168721061
202410220335,176098101
202410220340,171493013
202410220345,172758858
202410220350,179084944
202410220355,171524592
202410220400,165070656
202410220405,170520368
202410220410,169275808
202410220415,171545818
202410220420,166687797
202410220425,177491616
202410220430,177610410
202410220435,181200138
202410220440,181974389
202410220445,173944512
202410220450,191635450
202410220455,189811024
202410220500,188191973
202410220505,188119989
202410220510,194607349
202410220515,195203109
202410220520,197937930
202410220525,205106005
202410220530,205073968
202410220535,200397093
202410220540,215687269
202410220545,219932090
202410220550,227158245
202410220555,233122138
202410220600,256428368
202410220605,257668677
202410220610,255300928
202410220615,272195909
202410220620,288750794
202410220625,290562666
202410220630,296809061
202410220635,298384773
202410220640,299252821
202410220645,300270037
202410220650,327400021
202410220655,314274432
202410220700,316545936
202410220705,316827610
202410220710,307708437
202410220715,296677013
202410220720,298914880
202410220725,302023136
202410220730,307544912
202410220735,303757162
202410220740,307046954
202410220745,303282138
202410220750,311988480
202410220755,309735584
202410220800,332206458
202410220805,336760416
202410220810,335411040
202410220815,333344165
202410220820,337751888
202410220825,342352192
202410220830,339558074
202410220835,347666144
202410220840,343774122
202410220845,338936448
202410220850,348397162
202410220855,353069173
202410220900,357933594
202410220905,370786874
202410220910,370818986
202410220915,365121104
202410220920,384353829
202410220925,389093552
202410220930,386645221
202410220935,396736037
202410220940,400945280
202410220945,380917109
202410220950,382530853
202410220955,388856208
202410221000,396113333
202410221005,396761253
202410221010,398973856
202410221015,406631168
202410221020,403044426
202410221025,414071968
202410221030,419020810
202410221035,425201296
202410221040,418624576
202410221045,423607301
202410221050,420951712
202410221055,430859168
202410221100,436462533
202410221105,440172976
202410221110,448945792
202410221115,405495077
202410221120,384810064
202410221125,429247205
202410221130,434234666
202410221135,435748816
202410221140,449852549
202410221145,465216480
202410221150,473700000
202410221155,485563397
202410221200,497388282
202410221205,507927472
202410221210,522826378
202410221215,525734064
202410221220,552993450
202410221225,542409930
202410221230,566068085
202410221235,568353701
202410221240,560208869
202410221245,552303738
202410221250,544880592
202410221255,527792149
202410221300,526218522
202410221305,519435386
202410221310,513603210
202410221315,513123952
202410221320,498706608
202410221325,503477546
202410221330,503881306
202410221335,497752981
202410221340,488115290
202410221345,507315781
202410221350,487870128
202410221355,486939045
202410221400,485340789
202410221405,488178064
202410221410,480594512
202410221415,478912506
202410221420,482782378
202410221425,486836992
202410221430,492093568
202410221435,493352330
202410221440,496235013
202410221445,491766469
202410221450,485974112
202410221455,485184256
202410221500,478360464
202410221505,480843152
202410221510,482011360
202410221515,473523962
202410221520,484713866
202410221525,483702080
202410221530,474467066
202410221535,479362304
202410221540,471239061
202410221545,476381354
202410221550,477019989
202410221555,481619776
202410221600,514818522
202410221605,492737776
202410221610,485163520
202410221615,495015178
202410221620,503386048
202410221625,494591584
202410221630,526388826
202410221635,523544122
202410221640,516867061
202410221645,528994826
202410221650,524655184
202410221655,522613946
202410221700,514904992
202410221705,533958869
202410221710,537602624
202410221715,549553120
202410221720,551078480
202410221725,549697285
202410221730,569573253
202410221735,577414576
202410221740,593372005
202410221745,593334650
202410221750,610131722
202410221755,590269920
202410221800,587669792
202410221805,591132016
202410221810,583583360
202410221815,589288394
202410221820,602419024
202410221825,623465760
202410221830,640313269
202410221835,651188821
202410221840,640512485
202410221845,647705376
202410221850,644195744
202410221855,656868496
202410221900,675877600
202410221905,692522736
202410221910,697940896
202410221915,718178938
202410221920,718917498
202410221925,758666122
202410221930,749633658
202410221935,768939168
202410221940,785224986
202410221945,788373408
202410221950,816319093
202410221955,482946640
202410222000,743413797
202410222005,740655546
202410222010,746563120
202410222015,752855616
202410222020,763728133
202410222025,801670170
202410222030,804360629
202410222035,788014106
202410222040,787677034
202410222045,793894997
202410222050,798350320
202410222055,801612042
202410222100,801754080
202410222105,795068597
202410222110,774150666
202410222115,770198352
202410222120,772268997
202410222125,764565088
202410222130,751812981
202410222135,735953317
202410222140,735572960
202410222145,728134666
202410222150,704153200
202410222155,692926581
202410222200,681077488
202410222205,667984944
202410222210,654443546
202410222215,666321376
202410222220,656220384
202410222225,633882746
202410222230,615853104
202410222235,596407632
202410222240,586168624
202410222245,568645136
202410222250,553583088
202410222255,543127040
202410222300,528037013
202410222305,513840917
202410222310,518536096
202410222315,497640112
202410222320,490717856
202410222325,464965493
202410222330,453259248
202410222335,443258789
202410222340,437442005
202410222345,417312405
202410222350,407631354
202410222355,390309856
202410230000,369564848
202410230005,348510352
202410230010,344032704
202410230015,335184074
202410230020,317871397
202410230025,322125354
202410230030,293000469
202410230035,287558266
202410230040,280092133
202410230045,260643317
202410230050,255866928
202410230055,255999237
202410230100,262575840
202410230105,264691984
202410230110,267191082
202410230115,237633376
202410230120,238880138
202410230125,224315813
202410230130,220906949
202410230135,206098032
202410230140,206063200
202410230145,196862378
202410230150,198739690
202410230155,194483653
202410230200,198443024
202410230205,186381802
202410230210,181086837
202410230215,175547562
202410230220,173816352
202410230225,172377040
202410230230,173300650
202410230235,173488437
202410230240,178758608
202410230245,168140794
202410230250,142840400
202410230255,138522944
202410230300,180849093
202410230305,168969984
202410230310,166558250
202410230315,168772634
202410230320,165497130
202410230325,171734602
202410230330,165970197
202410230335,166934490
202410230340,163594293
202410230345,86232224
202410230350,156159978
202410230355,159613285
202410230400,155725776
202410230405,158508922
202410230410,171319205
202410230415,161404480
202410230420,161701525
202410230425,156529845
202410230430,166979418
202410230435,154764378
202410230440,118946922
202410230445,122564752
202410230450,159170325
202410230455,159134848
202410230500,164837477
202410230505,173863781
202410230510,175339045
202410230515,173939946
202410230520,177837882
202410230525,144207162
202410230530,174670101
202410230535,195533370
202410230540,208187018
202410230545,223435562
202410230550,229382149
202410230555,232368080
202410230600,259929413
202410230605,257659104
202410230610,252872309
202410230615,274452154
202410230620,277553077
202410230625,290517557
202410230630,293659978
202410230635,301975381
202410230640,317800741
202410230645,316560933
202410230650,321811658
202410230655,330823813
202410230700,341914010
202410230705,341068186
202410230710,328083253
202410230715,320838608
202410230720,331791445
202410230725,329927434
202410230730,342444464
202410230735,339839744
202410230740,358542885
202410230745,345744005
202410230750,354363205
202410230755,353980725
202410230800,381064773
202410230805,381837498
202410230810,376740496
202410230815,380159328
202410230820,361815317
202410230825,359712416
202410230830,364518485
202410230835,373482826
202410230840,376088069
202410230845,377883626
202410230850,375827434
202410230855,380080768
202410230900,397480384
202410230905,411914304
202410230910,400531648
202410230915,407903434
202410230920,416790368
202410230925,418277856
202410230930,418404869
202410230935,417150640
202410230940,414723242
202410230945,429986933
202410230950,418697808
202410230955,423589034
202410231000,421695744
202410231005,435785354
202410231010,424746688
202410231015,423398768
202410231020,424172037
202410231025,436875098
202410231030,434504250
202410231035,438332506
202410231040,441034048
202410231045,446021685
202410231050,458473685
202410231055,475657306
202410231100,452430656
202410231105,452628650
202410231110,455898869
202410231115,467989669
202410231120,472665130
202410231125,486546501
202410231130,498039525
202410231135,495645941
202410231140,503445392
202410231145,512741616
202410231150,528752186
202410231155,545775370
202410231200,556545738
202410231205,556955616
202410231210,573873509
202410231215,577779642
202410231220,577952512
202410231225,568015802
202410231230,575290234
202410231235,581446453
202410231240,589032261
202410231245,566657146
202410231250,563727584
202410231255,546805594
202410231300,554208709
202410231305,567308576
202410231310,557275237
202410231315,567622992
202410231320,555829120
202410231325,556225205
202410231330,557265488
202410231335,552613754
202410231340,551672661
202410231345,542024981
202410231350,535475701
202410231355,537559557
202410231400,540965520
202410231405,530049317
202410231410,537981408
202410231415,546627376
202410231420,538793754
202410231425,528210650
202410231430,518165120
202410231435,523007002
202410231440,517268928
202410231445,515452000
202410231450,513020117
202410231455,507710992
202410231500,512647509
202410231505,515131504
202410231510,519825573
202410231515,517207562
202410231520,510746912
202410231525,511567018
202410231530,515798506
202410231535,513152090
202410231540,513016005
202410231545,514848117
202410231550,521082949
202410231555,511379205
202410231600,533138650
202410231605,543820373
202410231610,545167834
202410231615,553149429
202410231620,543891829
202410231625,551755285
202410231630,560178698
202410231635,559681104
202410231640,570695786
202410231645,558346874
202410231650,563933290
202410231655,548041077
202410231700,569997616
202410231705,561333008
202410231710,578800154
202410231715,582839194
202410231720,582828576
202410231725,600373194
202410231730,613751290
202410231735,627442032
202410231740,630551594
202410231745,635024474
202410231750,638478554
202410231755,633818714
202410231800,644628730
202410231805,639401040
202410231810,649225125
202410231815,657539760
202410231820,669549402
202410231825,673671829
202410231830,668333658
202410231835,673122752
202410231840,686879221
202410231845,705467733
202410231850,732681114
202410231855,735368048
202410231900,762909621
202410231905,766452005
202410231910,786910485
202410231915,791853968
202410231920,808237205
202410231925,813806298
202410231930,853036133
202410231935,848065472
202410231940,855435301
202410231945,883406282
202410231950,902746704
202410231955,919707248
202410232000,910110869
202410232005,907045637
202410232010,924183749
202410232015,948571648
202410232020,964695642
202410232025,964425296
202410232030,989929178
202410232035,988839402
202410232040,972081301
202410232045,983280832
202410232050,989567504
202410232055,980093813
202410232100,998256186
202410232105,969969941
202410232110,954644666
202410232115,943739136
202410232120,940393306
202410232125,948891712
202410232130,948829562
202410232135,921450197
202410232140,924763104
202410232145,895108650
202410232150,892581013
202410232155,874078576
202410232200,862644048
202410232205,846068725
202410232210,811783706
202410232215,786360080
202410232220,764450757
202410232225,770527248
202410232230,727280714
202410232235,720492922
202410232240,695697125
202410232245,697909317
202410232250,653924544
202410232255,647441034
202410232300,637130832
202410232305,614261616
202410232310,584430421
202410232315,558480378
202410232320,540133658
202410232325,540186485
202410232330,536105680
202410232335,507819621
202410232340,487637957
202410232345,469110821
202410232350,466854096
202410232355,446062053
202410240000,408486970
202410240005,390439477
202410240010,380723173
202410240015,381199498
202410240020,360669621
202410240025,348930341
202410240030,339352448
202410240035,328803488
202410240040,311530997
202410240045,307490010
202410240050,298868469
202410240055,289078912
202410240100,289329306
202410240105,288191152
202410240110,284374165
202410240115,277558234
202410240120,266644661
202410240125,251111850
202410240130,250913461
202410240135,260117669
202410240140,244298096
202410240145,221138416
202410240150,231115632
202410240155,225482570
202410240200,221204202
202410240205,211688181
202410240210,212212336
202410240215,205435109
202410240220,200579445
202410240225,198106117
202410240230,206292714
202410240235,203674336
202410240240,194616394
202410240245,188503818
202410240250,189865530
202410240255,187037253
202410240300,178689237
202410240305,173213338
202410240310,172423882
202410240315,173884058
202410240320,168155152
202410240325,171535632
202410240330,171861664
202410240335,177745850
202410240340,164497733
202410240345,162356645
202410240350,169818928
202410240355,168231861
202410240400,165315829
202410240405,170886917
202410240410,162760906
202410240415,155523008
202410240420,173244298
202410240425,166120533
202410240430,168074026
202410240435,170781120
202410240440,170758864
202410240445,168719957
202410240450,172332848
202410240455,186724389
202410240500,179509333
202410240505,179871621
202410240510,174923648
202410240515,188926576
202410240520,191718773
202410240525,196534752
202410240530,211441290
202410240535,210430016
202410240540,211598080
202410240545,225101440
202410240550,237057344
202410240555,242042330
202410240600,256744906
202410240605,267807434
202410240610,279730240
202410240615,283409296
202410240620,304716474
202410240625,313987840
202410240630,327892704
202410240635,325552688
202410240640,336665312
202410240645,341572522
202410240650,345212384
202410240655,340170666
202410240700,346807584
202410240705,351442544
202410240710,355447424
202410240715,347593626
202410240720,353676602
202410240725,353141322
202410240730,348567802
202410240735,354924160
202410240740,363130042
202410240745,360232453
202410240750,354374325
202410240755,368546453
202410240800,378792896
202410240805,379378800
202410240810,378678336
202410240815,378975205
202410240820,375613397
202410240825,381823253
202410240830,377164325
202410240835,385394549
202410240840,384215690
202410240845,396224032
202410240850,400825109
202410240855,399212986
202410240900,408256736
202410240905,408350176
202410240910,414549157
202410240915,410533968
202410240920,418754725
202410240925,420555248
202410240930,426809498
202410240935,432185322
202410240940,424375418
202410240945,441270437
202410240950,444176528
202410240955,437726304
202410241000,437077301
202410241005,436314864
202410241010,441724202
202410241015,448316032
202410241020,452310277
202410241025,453518746
202410241030,460776618
202410241035,453257797
202410241040,451638288
202410241045,468307173
202410241050,453599221
202410241055,474556762
202410241100,477039125
202410241105,479224688
202410241110,476416640
202410241115,481293216
202410241120,475544474
202410241125,477474741
202410241130,480633520
202410241135,484134944
202410241140,502512389
202410241145,508180330
202410241150,507595509
202410241155,527216762
202410241200,550992928
202410241205,562958858
202410241210,570189856
202410241215,564055802
202410241220,583600090
202410241225,598288522
202410241230,613710362
202410241235,594799834
202410241240,598976917
202410241245,582284581
202410241250,567720442
202410241255,568193632
202410241300,571878544
202410241305,561152437
202410241310,557841930
202410241315,561537402
202410241320,551515573
202410241325,551837418
202410241330,544892848
202410241335,536965744
202410241340,516014026
202410241345,520157669
202410241350,504604752
202410241355,487452928
202410241400,484658570
202410241405,498750485
202410241410,503275797
202410241415,505795029
202410241420,537352954
202410241425,539211365
202410241430,541010133
202410241435,536042602
202410241440,521734021
202410241445,521123317
202410241450,519421456
202410241455,533710997
202410241500,534150997
202410241505,538912976
202410241510,551706645
202410241515,545479765
202410241520,529331018
202410241525,513244538
202410241530,529788224
202410241535,529566938
202410241540,535762885
202410241545,534201370
202410241550,536169648
202410241555,539861872
202410241600,541428768
202410241605,536596314
202410241610,549255914
202410241615,538763909
202410241620,535313648
202410241625,541905941
202410241630,552386629
202410241635,545626864
202410241640,553452128
202410241645,548171904
202410241650,554020597
202410241655,542179733
202410241700,548306954
202410241705,570579856
202410241710,572661178
202410241715,584991514
202410241720,582940117
202410241725,602273856
202410241730,609584261
202410241735,606044816
202410241740,628930362
202410241745,629136234
202410241750,638047184
202410241755,633301141
202410241800,637132672
202410241805,628492378
202410241810,643578101
202410241815,662477493
202410241820,654003466
202410241825,682603472
202410241830,709942666
202410241835,697092469
202410241840,701502784
202410241845,712465125
202410241850,720247397
202410241855,739414890
202410241900,756795968
202410241905,760938826
202410241910,748144272
202410241915,767728069
202410241920,780477573
202410241925,779250752
202410241930,791684944
202410241935,802236757
202410241940,793695978
202410241945,788730933
202410241950,814276368
202410241955,804387760
202410242000,822657082
202410242005,835870453
202410242010,868782202
202410242015,890854906
202410242020,900681205
202410242025,920456197
202410242030,901186442
202410242035,945666885
202410242040,960985088
202410242045,943294826
202410242050,955029642
202410242055,933802965
202410242100,928707653
202410242105,898674400
202410242110,892834698
202410242115,885754272
202410242120,880406234
202410242125,870345520
202410242130,861619210
202410242135,833811946
202410242140,764252762
202410242145,761726133
202410242150,763867114
202410242155,789875978
202410242200,798637477
202410242205,783488293
202410242210,763127216
202410242215,750154421
202410242220,764915093
202410242225,771445589
202410242230,735261008
202410242235,695976373
202410242240,675450448
202410242245,675336154
202410242250,652513029
202410242255,622223018
202410242300,634732277
202410242305,600055482
202410242310,579011962
202410242315,572344042
202410242320,550124896
202410242325,532238453
202410242330,506005744
202410242335,489785669
202410242340,476896101
202410242345,470252906
202410242350,458462016
202410242355,448030336
202410250000,439863856
202410250005,411213258
202410250010,391444496
202410250015,390355312
202410250020,373157664
202410250025,349799280
