date,bps
202410190000,45421984
202410190005,2007052
202410190010,7150983
202410190015,9679427
202410190020,11744915
202410190025,8176841
202410190030,44304199
202410190035,1639050
202410190040,3033206
202410190045,11636917
202410190050,10192020
202410190055,1311588
202410190100,42738548
202410190105,6677838
202410190110,3090719
202410190115,8606890
202410190120,10356035
202410190125,2715208
202410190130,43585222
202410190135,7660761
202410190140,5167220
202410190145,7366310
202410190150,10027850
202410190155,1508448
202410190200,36665188
202410190205,4399270
202410190210,4141425
202410190215,7901193
202410190220,8506609
202410190225,1073586
202410190230,32656981
202410190235,4298761
202410190240,4561947
202410190245,8184845
202410190250,8106003
202410190255,2084837
202410190300,28705529
202410190305,3669527
202410190310,2897450
202410190315,5146540
202410190320,6874642
202410190325,1056877
202410190330,24942774
202410190335,3346002
202410190340,2902931
202410190345,4276501
202410190350,6183349
202410190355,1429350
202410190400,20967867
202410190405,2382715
202410190410,2924420
202410190415,3775213
202410190420,5573627
202410190425,2253989
202410190430,17955553
202410190435,2280875
202410190440,3315362
202410190445,3422659
202410190450,1142946
202410190455,5396438
202410190500,15576928
202410190505,1929060
202410190510,2980407
202410190515,3064731
202410190520,1310691
202410190525,4943436
202410190530,13562804
202410190535,1821116
202410190540,2956129
202410190545,2986580
202410190550,1885108
202410190555,4431892
202410190600,12336255
202410190605,1729836
202410190610,2927807
202410190615,2637936
202410190620,1242151
202410190625,3528991
202410190630,12028625
202410190635,1671414
202410190640,2935108
202410190645,2527504
202410190650,1186795
202410190655,2902295
202410190700,11450657
202410190705,1622145
202410190710,2976446
202410190715,2410968
202410190720,1207183
202410190725,2709806
202410190730,10901753
202410190735,1626545
202410190740,3125554
202410190745,1277523
202410190750,2256797
202410190755,2656099
202410190800,10497863
202410190805,1620172
202410190810,4906270
202410190815,1245637
202410190820,2762947
202410190825,2678315
202410190830,10717719
202410190835,1636781
202410190840,2951753
202410190845,1001020
202410190850,2668827
202410190855,2973104
202410190900,11914571
202410190905,1743832
202410190910,3078838
202410190915,1551390
202410190920,6164260
202410190925,5354166
202410190930,16893561
202410190935,4424049
202410190940,7998995
202410190945,3236501
202410190950,6350328
202410190955,4912659
202410191000,5036403
202410191005,18081181
202410191010,3779013
202410191015,5236111
202410191020,6380431
202410191025,6859300
202410191030,3995613
202410191035,20116192
202410191040,2747152
202410191045,3893171
202410191050,5149611
202410191055,7154986
202410191100,5662156
202410191105,31185882
202410191110,4421149
202410191115,7859684
202410191120,5313969
202410191125,10116630
202410191130,5301400
202410191135,25306497
202410191140,5152766
202410191145,11098920
202410191150,6278969
202410191155,7718539
202410191200,5020443
202410191205,28986339
202410191210,5725629
202410191215,7841691
202410191220,10251703
202410191225,7911734
202410191230,3313848
202410191235,28386836
202410191240,4712516
202410191245,7265204
202410191250,8183406
202410191255,8192238
202410191300,7528432
202410191305,27952837
202410191310,7237407
202410191315,8051144
202410191320,9380031
202410191325,7500062
202410191330,2835011
202410191335,27090081
202410191340,3271012
202410191345,3778948
202410191350,10415229
202410191355,12070900
202410191400,6729606
202410191405,29904886
202410191410,4497491
202410191415,4857714
202410191420,11867971
202410191425,6998885
202410191430,2410465
202410191435,28971738
202410191440,7450134
202410191445,4036407
202410191450,8196775
202410191455,1330865
202410191500,9465796
202410191505,30055178
202410191510,5655664
202410191515,8298852
202410191520,8506446
202410191525,4341448
202410191530,11440573
202410191535,31434779
202410191540,6944029
202410191545,14996177
202410191550,10988514
202410191555,4839310
202410191600,12795164
202410191605,34680448
202410191610,4529659
202410191615,4376530
202410191620,7212008
202410191625,1396887
202410191630,10202622
202410191635,34255029
202410191640,6074687
202410191645,3784602
202410191650,7840107
202410191655,2174271
202410191700,9603408
202410191705,36409393
202410191710,4858564
202410191715,5158263
202410191720,7533326
202410191725,2301270
202410191730,8739671
202410191735,35718400
202410191740,5821219
202410191745,3678461
202410191750,4127193
202410191755,7433991
202410191800,8169428
202410191805,35481209
202410191810,3256386
202410191815,3371399
202410191820,2402616
202410191825,5513978
202410191830,8085130
202410191835,34951177
202410191840,4969823
202410191845,3339009
202410191850,1302626
202410191855,6505299
202410191900,7969191
202410191905,35247323
202410191910,3237035
202410191915,3302234
202410191920,1296491
202410191925,6560822
202410191930,7904398
202410191935,36141122
202410191940,5379983
202410191945,5321162
202410191950,8018681
202410191955,11002425
202410192000,9705118
202410192005,2396883
202410192010,38054874
202410192015,8891087
202410192020,2639459
202410192025,9302837
202410192030,8746915
202410192035,2205223
202410192040,45216344
202410192045,6870241
202410192050,8163145
202410192055,11374239
202410192100,15304006
202410192105,2127813
202410192110,40879596
202410192115,2448348
202410192120,22235371
202410192125,7563060
202410192130,9117356
202410192135,2058220
202410192140,41537098
202410192145,1447816
202410192150,26830993
202410192155,8307251
202410192200,9487849
202410192205,2180668
202410192210,39874280
202410192215,4181894
202410192220,3108493
202410192225,7904481
202410192230,9604782
202410192235,2378252
202410192240,40270973
202410192245,4878404
202410192250,3688561
202410192255,7952761
202410192300,9609676
202410192305,2351132
202410192310,42497484
202410192315,4016968
202410192320,3286985
202410192325,8136556
202410192330,9785592
202410192335,5892953
202410192340,42140897
202410192345,4041211
202410192350,3353618
202410192355,10905071
202410200000,9680058
202410200005,2169813
202410200010,40777093
202410200015,3974279
202410200020,3541949
202410200025,8144559
202410200030,9692812
202410200035,2486659
202410200040,40519547
202410200045,3925026
202410200050,3300047
202410200055,7792098
202410200100,1044445
202410200105,10905427
202410200110,39541629
202410200115,3764536
202410200120,3398902
202410200125,7451506
202410200130,1095365
202410200135,10335412
202410200140,37845922
202410200145,3420707
202410200150,2993495
202410200155,6919324
202410200200,1310537
202410200205,2282312
202410200210,35334327
202410200215,3209947
202410200220,3093863
202410200225,6245064
202410200230,993976
202410200235,9400627
202410200240,33588431
202410200245,3321930
202410200250,3069040
202410200255,7209924
202410200300,2084516
202410200305,8439969
202410200310,29646073
202410200315,3105028
202410200320,3287090
202410200325,5065458
202410200330,973458
202410200335,6606942
202410200340,25399467
202410200345,2711524
202410200350,3141440
202410200355,5177045
202410200400,1262264
202410200405,5766393
202410200410,22009391
202410200415,2267500
202410200420,3277962
202410200425,1661570
202410200430,6937446
202410200435,5300351
202410200440,19281570
202410200445,2452606
202410200450,3341543
202410200455,1581894
202410200500,2945565
202410200505,4304587
202410200510,16880093
202410200515,1876736
202410200520,3325256
202410200525,1968578
202410200530,3051911
202410200535,3758926
